context_name,chips_id,easting,northing,edtf,sample_name,typology,C,Na,Mg,Al,Si,P,S,Cl,K,Ca,Mn,Fe,loss_on_ignition,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,deltafe56,deltafe57,Ga,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mo,Nb,Nd,Ni,Os,os187_os188,os187_os186,Pb,Pd,Pr,Rb,Ru,Sb,Sc,Se,Sm,Sn,Sr,sr87_sr86,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,major_method,major_analytical_setup,trace_method,trace_analytical_setup,reference,url,dataset
Arles-sur-Tech village,2448,2.63195,42.45631,0050~/0225~,Arles-18,Smelting Tap slag Slag,,0.16,0.6,2.27,8.81,0.09,,,0.9,1.51,4.89,50.98,-6.91,,2.987,225.1,1.964,-0.001,-0.001,66.8,5.444,22.9,1.707,10.58,6.806,3.703,3.908,,,7.15,6.644,0.657,1.397,1.391,-0.001,34.34,,0.548,1.204,3.107,29.9,-0.001,,,,5.4314,,7.867,38.98,,0.147,11.62,,6.952,-0.001,96.2,,0.333,1.142,,4.098,0.103,,0.546,2.556,35.64,5.336,32.79,3.723,40.17,52.62,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Arles-sur-Tech village,2449,2.63195,42.45631,0050~/0225~,Arles-4,Smelting Tap slag Slag,,0.23,0.71,2.73,11.04,0.08,,,1.11,1.44,6.7,44.35,-6.29,,-0.001,1153,1.632,-0.001,-0.001,43.83,2.374,28.62,1.943,8.85,4.006,2.29,1.936,,,8.645,3.794,0.519,1.965,0.842,-0.001,22.14,,0.375,-0.001,4.662,19.06,-0.001,,,,4.8165,,5.041,52.46,,0.103,8.76,,4.184,-0.001,101,,0.475,0.629,,4.474,0.153,,0.344,3.287,37.68,2.915,19.12,2.434,57.89,74.64,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Arles-sur-Tech village,2450,2.63195,42.45631,0050~/0225~,Arles-7,Smelting Tap slag Slag,,0.11,0.64,2.35,9.75,0.09,,,0.88,1.85,3.43,49.48,-5.44,,7.716,197,1.241,-0.001,-0.001,36.42,3.524,25.05,1.96,8.654,3.212,1.682,1.9,,,7.611,3.172,0.594,1.556,0.636,-0.001,18.44,,0.272,1.259,3.772,15.85,-0.001,,,,4.2524,,4.217,41.69,,0.117,4.86,,3.498,1.86,63.87,,0.337,0.526,,3.427,0.127,,0.249,1.764,29.21,3.161,14.49,1.776,34.95,57.55,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Camp del Pull 1,2464,2.59731,42.53694,-0125~/-0025~,PULL-N01,Smelting Tap slag Slag,,0.16,0.47,3.3,10.08,0.1,,,1.17,1.06,3.65,49.19,-6.45,,-0.001,445.4,1.484,-0.001,-0.001,98.58,1.584,15.74,1.356,5.761,8.862,5.048,4.919,,,8.429,8.744,0.594,1.808,1.851,0.118,46.87,,0.826,0.586,3.958,42.23,-0.001,,,,2.5565,,11.14,41.01,,-0.001,12.56,,9.574,-0.001,119.7,,0.331,1.43,,7.098,0.142,,0.81,2.588,37.58,1.683,37.52,5.888,59.93,69.71,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Camp del Pull 1,2465,2.59731,42.53694,-0125~/-0025~,PULL-N15,Smelting Tap slag Slag,,0.16,0.52,2.85,10.01,0.08,,,0.95,0.8,5.44,48.74,-6.64,,-0.001,231.7,1.401,-0.001,-0.001,170,2.382,23.91,1.216,21.87,15.61,7.097,12.08,,,9.412,16.2,0.745,1.316,2.947,-0.001,81.38,,0.919,0.879,3.29,72.32,-0.001,,,,3.7714,,19.22,34.67,,0.145,7.35,,17.56,-0.001,160.7,,0.294,2.666,,4.709,0.121,,1.013,2.187,39.02,-0.001,57.76,6.813,29.95,46.94,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Camp del Pull 1,2466,2.59731,42.53694,-0125~/-0025~,PULL-N18,Smelting Tap slag Slag,,0.11,0.58,2.61,8.82,0.07,,,0.77,0.72,4.8,51.83,-6.61,,-0.001,208.6,1.172,-0.001,-0.001,76.67,1.371,28.99,1.139,8.168,6.207,3.101,4.713,,,8.204,6.846,0.496,1.077,1.241,-0.001,37.8,,0.446,0.768,2.849,32.24,-0.001,,,,2.3958,,8.621,28.29,,-0.001,5.73,,7.636,-0.001,120.8,,0.249,1.068,,3.441,0.113,,0.457,1.892,40.56,-0.001,25.77,3.112,16.83,40.11,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Camp del Pull 1,2467,2.59731,42.53694,-0125~/-0025~,PULL-N19,Smelting Tap slag Slag,,0.15,0.37,2.4,11.21,0.08,,,0.96,0.74,4.99,47.89,-6.42,,-0.001,395,1.658,-0.001,0.103,58.36,1.16,20.1,1.154,5.079,5.942,3.123,4.468,,,6.763,5.699,0.503,1.318,1.226,-0.001,30.09,,0.443,-0.001,2.915,27.39,-0.001,,,,1.8969,,7.193,35.72,,-0.001,11.2,,6.365,-0.001,90.13,,0.271,0.972,,3.458,0.106,,0.451,2.469,38.8,1.984,25.08,3.085,28.17,50.74,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Coll del Forn,2451,2.46368,42.5847,,FORN-1,Smelting Tap slag Slag,,0.21,0.31,1.61,8.82,-0.001,,,0.69,1.41,6.2,50.86,-7.32,,2.01,138,1.72,-0.001,-0.001,58,2.58,15,0.91,17.4,4.65,2.12,5.11,,,5.58,6.02,0.39,1.22,0.87,-0.001,33.7,,0.225,-0.001,2.4,23.6,-0.001,,,,31.8,,6.48,27.3,,0.36,1.37,,5.81,3.47,81.5,,0.29,0.879,,2.51,0.073,,0.279,2.48,18.9,8.34,23.7,1.63,47.3,43.5,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Coll del Forn,2452,2.46368,42.5847,,FORN-2,Smelting Tap slag Slag,,0.32,0.43,2.58,11.34,0.05,,,1.1,1.54,6.81,44.1,-6.42,,1.62,218,2.26,-0.001,-0.001,81.8,1.49,19.8,1.81,5.2,7.34,3.33,6.92,,,7.76,8.55,0.39,1.75,1.34,-0.001,42.8,,0.353,-0.001,4.24,34.9,-0.001,,,,17,,9.44,45.5,,0.13,3.17,,8.58,3.9,92,,0.45,1.32,,4.22,0.118,,0.448,3.08,28.7,10.8,33,2.62,18.7,69.7,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
Coll del Forn,2453,2.46368,42.5847,,FORN-3,Smelting Tap slag Slag,,0.18,0.3,1.43,6.89,0.05,,,0.6,1.69,6.63,53.57,-7.23,,1.96,120,1.77,-0.001,-0.001,56.1,2.18,18.6,0.74,6.5,5.2,2.32,5.15,,,5.53,6.08,0.41,0.92,0.963,-0.001,32.4,,0.238,-0.001,2.44,24.4,-0.001,,,,4.58,,6.4,24.6,,0.22,1.31,,6.09,3.46,133,,0.36,0.926,,2.18,0.069,,0.288,2.62,24.1,6.59,26.7,1.76,24,35.8,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,ICP-OES,CRPG - Thermo Fisher Scientific Icap 6500,"Gaspard Pagès, Philippe Dillmann, Enrique Vega, Marion Berranger, Sylvain Bauvais, Luc Long, Philippe Fluzin
 (2022), Vice-versa: The iron trade in the western Roman Empire between Gaul and the Mediterranean, PLOS ONE, 17",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268209,dataset_gpages22
