z_element	symbol	name_en	atomic mass	density	t_melting	t_boiling
1	H	Hydrogen	1.007940	0.000084	-259.10	-252.90
2	He	Helium	4.002602	0.000170	-272.20	-268.90
3	Li	Lithium	6.941000	0.530000	180.50	1317.00
4	Be	Beryllium	9.012182	1.850000	1278.00	2970.00
5	B	Boron	10.811000	2.460000	2300.00	2550.00
6	C	Carbon	12.011000	3.510000	3550.00	4827.00
7	N	Nitrogen	14.006000	0.001170	-209.90	-195.80
8	O	Oxygen	15.999400	0.001330	-218.40	-182.90
9	F	Fluorine	18.998403	0.001580	-219.60	-188.10
10	Ne	Neon	20.179000	0.000840	-248.70	-246.10
11	Na	Sodium	22.989768	0.970000	97.80	892.00
12	Mg	Magnesium	24.305000	1.740000	648.80	1107.00
13	Al	Aluminium	26.981539	2.700000	660.50	2467.00
14	Si	Silicon	28.085500	2.330000	1410.00	2355.00
15	P	Phosphorus	30.973762	1.820000	44.00	280.00
16	S	Sulfur	32.066000	2.060000	113.00	444.70
17	Cl	Chlorine	35.452700	0.002950	-101.00	-34.60
18	Ar	Argon	39.948000	0.001660	-189.40	-185.90
19	K	Potassium	39.098300	0.860000	63.70	774.00
20	Ca	Calcium	40.078000	1.540000	839.00	1487.00
21	Sc	Scandium	44.955910	2.990000	1539.00	2832.00
22	Ti	Titanium	47.880000	4.510000	1660.00	3260.00
23	V	Vanadium	50.941500	6.090000	1890.00	3380.00
24	Cr	Chromium	51.996100	7.140000	1857.00	2482.00
25	Mn	Manganese	54.938050	7.440000	1244.00	2097.00
26	Fe	Iron	55.847000	7.870000	1535.00	2750.00
27	Co	Cobalt	58.933200	8.890000	1495.00	2870.00
28	Ni	Nickel	58.690000	8.910000	1453.00	2732.00
29	Cu	Copper	63.546000	8.920000	1083.50	2595.00
30	Zn	Zinc	65.390000	7.140000	419.60	907.00
31	Ga	Gallium	69.723000	5.910000	29.80	2403.00
32	Ge	Germanium	72.610000	5.320000	937.40	2830.00
33	As	Arsenic	74.921590	5.720000	613.00	
34	Se	Selenium	78.960000	4.820000	217.00	685.00
35	Br	Bromine	79.904000	3.140000	-7.30	58.80
36	Kr	Krypton	83.800000	0.003480	-156.60	-152.30
37	Rb	Rubidium	85.467800	1.530000	39.00	688.00
38	Sr	Strontium	87.620000	2.630000	769.00	1384.00
39	Y	Yttrium	88.905850	4.470000	1523.00	3337.00
40	Zr	Zirconium	91.224000	6.510000	1852.00	4377.00
41	Nb	Niobium	92.906380	8.580000	2468.00	4927.00
42	Mo	Molybdenum	95.940000	10.280000	2617.00	5560.00
43	Tc	Technetium	98.906300	11.490000	2172.00	5030.00
44	Ru	Ruthenium	101.070000	12.450000	2310.00	3900.00
45	Rh	Rhodium	102.905500	12.410000	1966.00	3727.00
46	Pd	Palladium	106.420000	12.020000	1552.00	3140.00
47	Ag	Silver	107.868200	10.490000	961.90	2212.00
48	Cd	Cadmium	112.411000	8.640000	321.00	765.00
49	In	Indium	114.820000	7.310000	156.20	2080.00
50	Sn	Tin	118.710000	7.290000	232.00	2270.00
51	Sb	Antimony	121.750000	6.690000	630.70	1750.00
52	Te	Tellurium	127.600000	6.250000	449.60	990.00
53	I	Iodine	126.904470	4.940000	113.50	184.40
54	Xe	Xenon	131.290000	0.004490	-111.90	-107.00
55	Cs	Cesium	132.905430	1.900000	28.40	690.00
56	Ba	Barium	137.327000	3.650000	725.00	1640.00
57	La	Lanthanum	138.905500	6.160000	920.00	3454.00
58	Ce	Cerium	140.115000	6.770000	798.00	3257.00
59	Pr	Praseodymium	140.907650	6.480000	931.00	3212.00
60	Nd	Neodymium	144.240000	7.000000	1010.00	3127.00
61	Pm	Promethium	146.915100	7.220000	1080.00	2730.00
62	Sm	Samarium	150.360000	7.540000	1072.00	1778.00
63	Eu	Europium	151.965000	5.250000	822.00	1597.00
64	Gd	Gadolinium	157.250000	7.890000	1311.00	3233.00
65	Tb	Terbium	158.925340	8.250000	1360.00	3041.00
66	Dy	Dysprosium	162.500000	8.560000	1409.00	2335.00
67	Ho	Holmium	164.930320	8.780000	1470.00	2720.00
68	Er	Erbium	167.260000	9.050000	1522.00	2510.00
69	Tm	Thulium	168.934210	9.320000	1545.00	1727.00
70	Yb	Ytterbium	173.040000	6.970000	824.00	1193.00
71	Lu	Lutetium	174.967000	9.840000	1656.00	3315.00
72	Hf	Hafnium	178.490000	13.310000	2150.00	5400.00
73	Ta	Tantalum	180.947900	16.680000	2996.00	5425.00
74	W	Tungsten	183.850000	19.260000	3407.00	5927.00
75	Re	Rhenium	186.207000	21.030000	3180.00	5627.00
76	Os	Osmium	190.200000	22.610000	3045.00	5027.00
77	Ir	Iridium	192.220000	22.650000	2410.00	4130.00
78	Pt	Platinum	195.080000	21.450000	1772.00	3827.00
79	Au	Gold	196.966540	19.320000	1064.40	2940.00
80	Hg	Mercury	200.590000	13.550000	-38.90	356.60
81	Tl	Thallium	204.383300	11.850000	303.60	1457.00
82	Pb	Lead	207.200000	11.340000	327.50	1740.00
83	Bi	Bismuth	208.980370	9.800000	271.40	1560.00
84	Po	Polonium	208.982400	9.200000	254.00	962.00
85	At	Astatine	209.987100		302.00	337.00
86	Rn	Radon	222.017600	0.009230	-71.00	-61.80
87	Fr	Francium	223.019700		26.85	677.00
88	Ra	Radium	226.025400	5.500000	700.00	1140.00
89	Ac	Actinium	227.027800	10.070000	1047.00	3197.00
90	Th	Thorium	232.038100	11.720000	1750.00	4787.00
91	Pa	Protactinium	231.035900	15.370000	1554.00	4030.00
92	U	Uranium	238.028900	18.970000	1132.40	3818.00
93	Np	Neptunium	237.048200	20.480000	640.00	3902.00
94	Pu	Plutonium	244.064200	19.740000	641.00	3327.00
95	Am	Americium	243.061400	13.670000	994.00	2607.00
96	Cm	Curium	247.070300	13.510000	1340.00	
97	Bk	Berkelium	247.070300	13.250000	986.00	
98	Cf	Californium	251.079600	15.100000	900.00	
99	Es	Einsteinium	252.082900		860.00	
100	Fm	Fermium	257.095100		1527.00	
101	Md	Mendelevium	258.098600			
102	No	Nobelium	259.100900		827.00	
