id_chips,id_ech,id_machinem,id_machinet,o,na,mg,al,si,p,s,cl,k,ca,mn,fe,perte_feu,arsenic,ba,be,bi,cd,ce,co,cr,cs,cu,dy,er,eu,ga,gd,ge,hf,ho,indium,la,lu,mo,nb,nd,ni,pb,pd,pr,rb,sb,sc,sm,sn,sr,ta,tb,th,ti,tm,u,v,w,y,yb,zn,zr,os187_os188,open,delta57fe,delta56fe,id_machinei,n_crpg,bibreference,os187_os186,os_ppt,ag,sr87_sr86,li,tl,ru,re,se,te,carbon,h,he,b,n,f,ar,br,kr,tc,rh,i,xe,ir,pt,au,hg
6733,6691,39,40,,1.802817,0.74169,5.98109,34.008024,0.074188,0.017,0,3.129477,1.528062,0.12392,2.951607405,,13,374,,,,43.2,9,34,4.2,16,,,0.89,,,,3.4,,,23.1,0.32,-0.001,8,17.6,-0.001,15,,,133,2.7,10,3.6,,144,,0.6,6.9,0.257742,,1.3,81,,20,2,49,135,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6734,6692,39,40,,0.957051,0.59094,5.71644,30.867096,0.157104,0.017,0,3.121176,5.394848,0.10843,2.979584726,,10,406,,,,50.4,5,40,4,20,,,1.04,,,,3.8,,,28.6,0.34,-0.001,7,23.6,25,124,,,124,1.5,7,4.8,,226,,0.6,9,0.20979,,1.7,59,,19,2.4,29,122,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6735,6693,39,40,,2.15151,0.75375,6.341014,33.507906,0.082916,0.023,0,3.204186,1.21958,0.209115,3.105482672,,16,409,,,,55.1,8,42,5,27,,,1.05,,,,4.7,,,27.5,0.39,-0.001,11,22.2,-0.001,8,,,137,2.3,9,4.6,,149,,0.7,8.6,0.317682,,1.9,84,,24,2.5,30,182,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6736,6694,39,40,,1.550571,0.72963,6.833263,33.311598,0.069824,0.011,0,3.004962,1.226754,0.13941,3.804915707,,23,395,,,,57.7,11,51,4.9,27,,,1.11,,,,4.9,,,30.7,0.38,-0.001,11,24,27,21,,,143,4.5,10,4.9,,142,,0.7,9.5,0.311688,,1.7,90,,24,2.4,54,194,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6737,6695,39,40,,1.417029,1.7487,8.929291,30.390348,0.074188,0.018,0,2.291076,1.850892,0.147155,4.672212669,,20,390,,,,56.1,15,33,7.7,36,,,1.52,,,,5.3,,,29.4,0.55,-0.001,13,26.1,-0.001,8,,,113,1.9,20,5.8,,172,,1,8.5,0.467532,,2.3,117,,33,3.5,34,212,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6738,6696,39,40,,1.543152,0.83214,7.023811,32.012226,0.078552,0.006,0,3.278895,1.355886,0.18588,5.728356551,,11,472,,,,41.4,7,20,5.3,17,,,0.78,,,,5.6,,,19.5,0.43,-0.001,10,15.4,14,135,,,135,3.7,11,3.4,,147,,0.5,9.2,0.377622,,2.2,81,,18,2.7,54,193,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6739,6697,39,40,,1.743465,0.75375,6.24574,29.684574,0.144012,0.023,0,3.478119,1.929806,0.379505,9.064652125,,16,512,,,,45.2,52,30,6.9,13,,,0.95,,,,4.1,,,23.2,0.42,2,8,17.5,12,139,,,139,2.2,10,3.7,,142,,0.6,7,0.305694,,2.3,89,,22,2.5,25,122,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6740,6698,39,40,,0.415464,0.1809,1.609072,13.208724,0.235656,4.35,0,3.195885,0.738922,0.01549,28.83062967,,83,182,,,,7.6,34,-0.001,0.8,13,,,0.22,,,,0.8,,,4.5,0.07,21,2,3.3,101,5,,,36,1.4,3,0.7,,240,,0.1,1.5,0.071928,,0.6,43,,4,0.4,-0.001,32,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6741,6699,39,40,,0.504492,0.27738,2.27599,13.475142,0.24002,0.308,0,1.187043,0.89675,0.038725,39.00038599,,157,214,,,,15.9,18,20,1.4,35,,,0.32,,,,1.7,,,8.2,0.11,30,3,6.4,64,43,,,43,5.4,3,1.3,,132,,0.2,3.2,0.113886,,0.9,52,,4,0.8,14,55,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6742,6700,39,40,,0.259665,0.21105,0.984498,7.426986,0.292388,1.52,0,1.286655,1.678716,0.01549,42.46957384,,230,237,,,,5.3,21,21,0.5,49,,,0.14,,,,0.6,,,3,0.04,43,1,2.4,47,-0.001,,,21,8.3,2,0.5,,251,,-0.001,1.1,0.047952,,0.6,61,,3,0.3,-0.001,26,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
