id_ech;id_site;id_typo;nom_ech;referent;type_metal;bibreference;bibreference2;commentaire
6844;1809;24;09004_1_M1;62;Fe;;;
6845;1809;24;09004_1_M2;62;Fe;;;
6846;1809;24;09004_1_M3;62;Fe;;;
6847;1808;5;09023_2_S1;62;Fe;;;
6848;1808;5;09023_2_S2;62;Fe;;;
6849;1808;5;09023_2_S3;62;Fe;;;
6850;1808;5;09023_2_S4;62;Fe;;;
6851;1808;5;09023_2_S5;62;Fe;;;
6852;1807;24;09029_3_M1;62;Fe;;;
6853;1806;24;09096_1_M1;62;Fe;;;
6854;1806;24;09096_1_M2;62;Fe;;;
6855;1806;24;09096_1_M3;62;Fe;;;
6856;1805;24;09136_1_M1;62;Fe;;;
6857;1805;24;09136_1_M2;62;Fe;;;
6858;1805;24;09136_1_M3;62;Fe;;;
6859;1773;24;09136_3_M1;62;Fe;;;
6860;1773;5;09136_3_S1;62;Fe;;;
6861;1773;5;09136_3_S2;62;Fe;;;
6862;1773;5;09136_3_S3;62;Fe;;;
6863;1773;5;09136_3_S4;62;Fe;;;
6864;1773;5;09136_3_S5;62;Fe;;;
6865;1774;24;09155_5_M1;62;Fe;;;
6866;1774;24;09155_5_M2;62;Fe;;;
6867;1774;24;09155_5_M3;62;Fe;;;
6868;1775;5;09162_2_S1;62;Fe;;;
6869;1775;5;09162_2_S2;62;Fe;;;
6870;1775;5;09162_2_S3;62;Fe;;;
6871;1775;5;09162_2_S4;62;Fe;;;
6872;1775;5;09162_2_S5;62;Fe;;;
6873;1776;24;09182_11_M1;62;Fe;;;
6874;1776;24;09182_11_M2;62;Fe;;;
6875;1777;24;09182_2_M1;62;Fe;;;
6876;1778;24;09192_1_M1;62;Fe;;;
6877;1778;24;09192_1_M2;62;Fe;;;
6878;1778;24;09192_1_M3;62;Fe;;;
6879;1779;24;09192_10_M1;62;Fe;;;
6880;1779;24;09192_10_M2;62;Fe;;;
6881;1779;24;09192_10_M3;62;Fe;;;
6882;1780;24;09192_2_M1;62;Fe;;;
6883;1781;5;09223_1_S1;62;Fe;;;
6884;1781;5;09223_1_S3;62;Fe;;;
6885;1781;5;09223_1_S4;62;Fe;;;
6886;1781;5;09223_1_S5;62;Fe;;;
6887;1782;26;09241_1_M1;68;Fe;;;
6888;1782;5;09241_1_S1;68;Fe;;;
6889;1782;5;09241_1_S2;68;Fe;;;
6890;1782;5;09241_1_S3;68;Fe;;;
6891;1782;5;09241_1_S4;68;Fe;;;
6892;1782;5;09241_1_S5;68;Fe;;;
6893;1782;5;09241_1_S6;68;Fe;;;
6894;1782;5;09241_1_S7;68;Fe;;;
6895;1782;5;09241_1_S8;68;Fe;;;
6896;1783;5;09241_3_S2;62;Fe;;;
6897;1783;5;09241_3_S3;62;Fe;;;
6898;1783;5;09241_3_S4;62;Fe;;;
6899;1783;5;09241_3_S5;62;Fe;;;
6900;1784;5;09247_1_S1;62;Fe;;;
6901;1784;5;09247_1_S2;62;Fe;;;
6902;1784;5;09247_1_S3;62;Fe;;;
6903;1784;5;09247_1_S4;62;Fe;;;
6904;1784;5;09247_1_S5;62;Fe;;;
6905;1785;24;09247_5_M1;62;Fe;;;
6906;1785;24;09247_5_M2;62;Fe;;;
6907;1785;24;09247_5_M3;62;Fe;;;
6908;1810;24;09280_2_M1;62;Fe;;;
6909;1786;5;09283_1_SC1;68;Fe;;;
6910;1788;5;09283_1_SC10;68;Fe;;;
6911;1786;5;09283_1_SC2;68;Fe;;;
6912;1786;5;09283_1_SC3;68;Fe;;;
6913;1787;5;09283_1_SC4;68;Fe;;;
6914;1787;5;09283_1_SC5;68;Fe;;;
6915;1787;5;09283_1_SC6;68;Fe;;;
6916;1788;5;09283_1_SC7;68;Fe;;;
6917;1788;5;09283_1_SC8;68;Fe;;;
6918;1788;5;09283_1_SC9;68;Fe;;;
6919;1789;5;09299_1_S1;62;Fe;;;
6920;1789;5;09299_1_S2;62;Fe;;;
6921;1789;5;09299_1_S3;62;Fe;;;
6922;1790;5;09299_2_S1;62;Fe;;;
6923;1790;5;09299_2_S2;62;Fe;;;
6924;1791;26;09322_1_M1;68;Fe;;;
6925;1791;5;09322_1_S1;68;Fe;;;
6926;1791;5;09322_1_S2;68;Fe;;;
6927;1791;5;09322_1_S3;68;Fe;;;
6928;1792;5;66079_2_SC1;68;Fe;;;
6929;1792;5;66079_2_SC2;68;Fe;;;
6930;1792;5;66079_2_SC3;68;Fe;;;
6931;1793;5;66079_3_SC1;68;Fe;;;
6932;1793;5;66079_3_SC2;68;Fe;;;
6933;1793;5;66079_3_SC3;68;Fe;;;
6934;1793;5;66079_3_SC4;68;Fe;;;
6935;1793;5;66079_3_SC5;68;Fe;;;
6936;1794;5;66079_4_SC1;68;Fe;;;
6937;1794;5;66079_4_SC2;68;Fe;;;
6938;1794;5;66079_4_SC3;68;Fe;;;
6939;1795;5;66079_6_SC1;68;Fe;;;
6940;1795;5;66079_6_SC2;68;Fe;;;
6941;1795;5;66079_6_SC3;68;Fe;;;
6942;1796;5;66146_3_SC1;68;Fe;;;
6943;1796;5;66146_3_SC2;68;Fe;;;
6944;1796;5;66146_3_SC3;68;Fe;;;
6945;1796;5;66146_3_SC4;68;Fe;;;
6946;1796;5;66146_3_SC5;68;Fe;;;
6947;1797;5;66146_4_SC1;68;Fe;;;
6948;1797;5;66146_4_SC2;68;Fe;;;
6949;1797;5;66146_4_SC3;68;Fe;;;
6950;1798;5;66147_1_SC1;68;Fe;;;
6951;1798;5;66147_1_SC2;68;Fe;;;
6952;1798;5;66147_1_SC3;68;Fe;;;
6953;1799;5;66147_2_SC1;68;Fe;;;
6954;1799;5;66147_2_SC2;68;Fe;;;
6955;1799;5;66147_2_SC3;68;Fe;;;
6956;1800;5;66221_16_SC1;68;Fe;;;
6957;1800;5;66221_16_SC2;68;Fe;;;
6958;1800;5;66221_16_SC3;68;Fe;;;
6959;1800;5;66221_16_SC4;68;Fe;;;
6960;1800;5;66221_16_SC5;68;Fe;;;
6961;1801;5;66221_28_SC1;68;Fe;;;
6962;1801;5;66221_28_SC2;68;Fe;;;
6963;1802;5;66221_36_SC1;68;Fe;;;
6964;1802;5;66221_36_SC2;68;Fe;;;
6965;1802;5;66221_36_SC3;68;Fe;;;
6966;1802;5;66221_36_SC4;68;Fe;;;
6967;1803;5;66221_54_SC1;68;Fe;;;
6968;1803;5;66221_54_SC2;68;Fe;;;
6969;1804;5;PAÏR_1;62;Fe;;;
6970;1804;5;PAÏR_2;62;Fe;;;
6971;1804;5;PAÏR_3;62;Fe;;;
6972;1804;5;PAÏR_4;62;Fe;;;
6973;1804;5;PAÏR_5;62;Fe;;;
6974;1847;5;SAY-S-2.05;104;Fe;;;
6975;1847;5;SAY-S-2.01;104;Fe;;;
6976;1847;5;SAY-S-3-01;104;Fe;;;
6977;1847;5;SAY-S-3-02;104;Fe;;;
6978;1847;5;SAY-S-3-03;104;Fe;;;
6979;1847;5;SAY-S-2.12;104;Fe;;;
6980;1847;5;SAY-S-1.02-01;104;Fe;;;
6981;1847;5;SAY-S-1.02-02;104;Fe;;;
6982;53;5;OZO-S-01;104;Fe;;;
6983;53;5;OZO-S-02;104;Fe;;;
6984;53;5;OZO-S-03;104;Fe;;;
6985;53;5;OZO-S-04;104;Fe;;;
6986;53;5;OZO-S-05;104;Fe;;;
6987;53;5;OZO-S-06;104;Fe;;;
6988;53;5;OZO-S-07;104;Fe;;;
6989;53;5;OZO-S-08;104;Fe;;;
6990;1840;5;PGB55_prosp_1;104;Fe;;;
6991;1840;5;PGB55_prosp_2;104;Fe;;;
6992;1840;5;PGB55_prosp_3;104;Fe;;;
6993;1840;5;PGB55_prosp_4;104;Fe;;;
6994;1840;5;PGB55_prosp_5;104;Fe;;;
6995;1840;5;PGB55_prosp_6;104;Fe;;;
6996;1840;5;PGB55_prosp_7;104;Fe;;;
6997;1840;5;PGB55_prosp_8;104;Fe;;;
6998;1850;5;PGB55_1;104;Fe;;;
6999;1850;5;PGB55_2;104;Fe;;;
7000;1827;5;PGB13_1;104;Fe;;;
7001;1827;5;PGB13_2;104;Fe;;;
7002;1837;5;PGB26_1;104;Fe;;;
7003;1837;5;PGB26_2;104;Fe;;;
7004;74;5;FL06-01;104;Fe;;;
7005;74;5;FL06-02;104;Fe;;;
7006;74;5;FL06-03;104;Fe;;;
7007;74;5;FL06-04;104;Fe;;;
7008;74;5;FL06-05;104;Fe;;;
7009;74;5;FL06-06;104;Fe;;;
7010;74;5;FL06-07;104;Fe;;;
7011;74;5;FL06-08;104;Fe;;;
7012;74;5;FL06-09;104;Fe;;;
7013;74;5;FL06-10;104;Fe;;;
7014;74;5;FL06-12;104;Fe;;;
7015;1833;5;PGB27_1;104;Fe;;;
7016;1833;5;PGB27_2;104;Fe;;;
7017;1833;5;PGB27_3;104;Fe;;;
7018;1816;5;CHA-S-M9-01;104;Fe;;;
7019;1816;5;CHA-S-M9-02;104;Fe;;;
7020;1816;5;CHA-S-M9-03;104;Fe;;;
7021;1816;5;CHA-S-M9-04;104;Fe;;;
7022;1816;5;CHA-S-M9-05;104;Fe;;;
7023;1816;5;CHA-S-M9-06;104;Fe;;;
7024;1816;5;CHA-S-M9-07;104;Fe;;;
7025;1816;5;CHA-S-M9-08;104;Fe;;;
7026;1816;5;CHA-S-M9-09;104;Fe;;;
7027;1817;5;CHA-S-M2A-01;104;Fe;;;
7028;1817;5;CHA-S-M2A-02;104;Fe;;;
