table_name	column_name	column_alias  description
sites	id_site	context_id  X n'apparait pas dans l'API/Dash
sites	id_localite	locality_id  X n'apparait pas dans l'API/Dash
sites	nom_site	context_name  V apparait dans l'API/Dash
sites	longitude	easting  V apparait dans l'API/Dash
sites	latitude	northing  V apparait dans l'API/Dash
sites	date_debut	start_date  X n'apparait pas dans l'API/Dash (remplacé par EDTF)
sites	date_fin	end_date  X n'apparait pas dans l'API/Dash (remplacé par EDTF)
sites	doute_date	date_uncertain  X n'apparait pas dans l'API/Dash (remplacé par EDTF)
sites	nom_place	site_name  X n'apparait pas dans l'API/Dash
chips	id_chips	chips_id  V apparait dans l'API/Dash
chips	id_ech	sample_id  X n'apparait pas dans l'API/Dash
chips	id_machinem	setup_major_id  X n'apparait pas dans l'API/Dash
chips	id_machinet	setup_trace_id  X n'apparait pas dans l'API/Dash
chips	id_machinei	setup_isotope_id  X n'apparait pas dans l'API/Dash
chips	n_crpg	lab_number  X n'apparait pas dans l'API/Dash
chips	arsenic	as  V apparait dans l'API/Dash
chips	indium	in  V apparait dans l'API/Dash
chips	carbon	c  VX (n')apparait (pas) dans l'API/Dash <<<<<<<<< Oublié dans la création des Vues?
chips	perte_feu	loss_on_ignition  V apparait dans l'API/Dash
