table_name	column_name	comment
chips	id_chips	Numeric. Unique identifier of analyses in the 'analyses' table
chips	id_ech	Numeric. Unique identifier of samples in the 'sample' table, used as foreign key in the 'analyses' table
chips	id_machinem	Numeric. Unique identifier of analytical devices in the 'machines' table, used as foreign key in the 'analyses' table
chips	id_machinet	Numeric. Unique identifier of analytical devices in the 'machines' table, used as foreign key in the 'analyses' table
chips	o	Numeric. Mass fraction of Oxygen in the analysed material, expressed as %wt
chips	na	Numeric. Mass fraction of Sodium in the analysed material, expressed as %wt
chips	mg	Numeric. Mass fraction of Magnesium in the analysed material, expressed as %wt
chips	al	Numeric. Mass fraction of Aluminium in the analysed material, expressed as %wt
chips	si	Numeric. Mass fraction of Silicon in the analysed material, expressed as %wt
chips	p	Numeric. Mass fraction of Phosphorus in the analysed material, expressed as %wt
chips	s	Numeric. Mass fraction of Sulfur in the analysed material, expressed as %wt
chips	cl	Numeric. Mass fraction of Chlorine in the analysed material, expressed as %wt
chips	k	Numeric. Mass fraction of Potassium in the analysed material, expressed as %wt
chips	ca	Numeric. Mass fraction of Calcium in the analysed material, expressed as %wt
chips	mn	Numeric. Mass fraction of Manganese in the analysed material, expressed as %wt
chips	fe	Numeric. Mass fraction of Iron in the analysed material, expressed as %wt
chips	perte_feu	Numeric. Loss on ignition representing the mass fraction of volatile compounds in the analysed material
chips	arsenic	Numeric. Mass fraction of Arsenic in the analysed material, expressed as µg.g-1 (or ppm)
chips	ba	Numeric. Mass fraction of Baryum in the analysed material, expressed as �g.g-1 (or ppm)
chips	be	Numeric. Mass fraction of Beryllium in the analysed material, expressed as �g.g-1 (or ppm)
chips	bi	Numeric. Mass fraction of Bismuth in the analysed material, expressed as �g.g-1 (or ppm)
chips	cd	Numeric. Mass fraction of Cadmium in the analysed material, expressed as �g.g-1 (or ppm)
chips	ce	Numeric. Mass fraction of Cerium in the analysed material, expressed as �g.g-1 (or ppm)
chips	co	Numeric. Mass fraction of Cobalt in the analysed material, expressed as �g.g-1 (or ppm)
chips	cr	Numeric. Mass fraction of Chromium in the analysed material, expressed as �g.g-1 (or ppm)
chips	cs	Numeric. Mass fraction of Cesium in the analysed material, expressed as �g.g-1 (or ppm)
chips	cu	Numeric. Mass fraction of Copper in the analysed material, expressed as �g.g-1 (or ppm)
chips	dy	Numeric. Mass fraction of Dysprosium in the analysed material, expressed as �g.g-1 (or ppm)
chips	er	Numeric. Mass fraction of Erbium in the analysed material, expressed as �g.g-1 (or ppm)
chips	eu	Numeric. Mass fraction of Europium in the analysed material, expressed as �g.g-1 (or ppm)
chips	ga	Numeric. Mass fraction of Gallium in the analysed material, expressed as �g.g-1 (or ppm)
chips	gd	Numeric. Mass fraction of Gadolinium in the analysed material, expressed as �g.g-1 (or ppm)
chips	ge	Numeric. Mass fraction of Germanium in the analysed material, expressed as �g.g-1 (or ppm)
chips	hf	Numeric. Mass fraction of Hafnium in the analysed material, expressed as �g.g-1 (or ppm)
chips	ho	Numeric. Mass fraction of Holmium in the analysed material, expressed as �g.g-1 (or ppm)
chips	indium	Numeric. Mass fraction of Indium in the analysed material, expressed as �g.g-1 (or ppm)
chips	la	Numeric. Mass fraction of Lanthanum in the analysed material, expressed as �g.g-1 (or ppm)
chips	lu	Numeric. Mass fraction of Lutetium in the analysed material, expressed as �g.g-1 (or ppm)
chips	mo	Numeric. Mass fraction of Molybdenum in the analysed material, expressed as �g.g-1 (or ppm)
chips	nb	Numeric. Mass fraction of Niobium in the analysed material, expressed as �g.g-1 (or ppm)
chips	nd	Numeric. Mass fraction of Neodymium in the analysed material, expressed as �g.g-1 (or ppm)
chips	ni	Numeric. Mass fraction of Nickel in the analysed material, expressed as �g.g-1 (or ppm)
chips	pb	Numeric. Mass fraction of Lead in the analysed material, expressed as �g.g-1 (or ppm)
chips	pd	Numeric. Mass fraction of Palladium in the analysed material, expressed as �g.g-1 (or ppm)
chips	pr	Numeric. Mass fraction of Praseodymium in the analysed material, expressed as �g.g-1 (or ppm)
