z_element	symbole	nom	masse_atomique	masse_volumique	t_fusion	t_ebullition
1	H	Hydrogène	1.00794	8.4e-05	-259.1	-252.9
2	He	Hélium	4.002602	0.00017	-272.2	-268.9
3	Li	Lithium	6.941	0.53	180.5	1317.0
4	Be	Béryllium	9.012182	1.85	1278.0	2970.0
5	B	Bore	10.811	2.46	2300.0	2550.0
6	C	Carbone	12.011	3.51	3550.0	4827.0
7	N	Azote	14.006	0.00117	-209.9	-195.8
8	O	Oxygène	15.9994	0.00133	-218.4	-182.9
9	F	Fluor	18.998403	0.00158	-219.6	-188.1
10	Ne	Néon	20.179	0.00084	-248.7	-246.1
11	Na	Sodium	22.989768	0.97	97.8	892.0
12	Mg	Magnésium	24.305	1.74	648.8	1107.0
13	Al	Aluminium	26.981539	2.7	660.5	2467.0
14	Si	Silicium	28.0855	2.33	1410.0	2355.0
15	P	Phosphore	30.973762	1.82	44.0	280.0
16	S	Soufre	32.066	2.06	113.0	444.7
17	Cl	Chlore	35.4527	0.00295	-101.0	-34.6
18	Ar	Argon	39.948	0.00166	-189.4	-185.9
19	K	Potassium	39.0983	0.86	63.7	774.0
20	Ca	Calcium	40.078	1.54	839.0	1487.0
21	Sc	Scandium	44.95591	2.99	1539.0	2832.0
22	Ti	Titane	47.88	4.51	1660.0	3260.0
23	V	Vanadium	50.9415	6.09	1890.0	3380.0
24	Cr	Chrome	51.9961	7.14	1857.0	2482.0
25	Mn	Manganèse	54.93805	7.44	1244.0	2097.0
26	Fe	Fer	55.847	7.87	1535.0	2750.0
27	Co	Cobalt	58.9332	8.89	1495.0	2870.0
28	Ni	Nickel	58.69	8.91	1453.0	2732.0
29	Cu	Cuivre	63.546	8.92	1083.5	2595.0
30	Zn	Zinc	65.39	7.14	419.6	907.0
31	Ga	Gallium	69.723	5.91	29.8	2403.0
32	Ge	Germanium	72.61	5.32	937.4	2830.0
33	As	Arsenic	74.92159	5.72	613.0	
34	Se	Sélénium	78.96	4.82	217.0	685.0
35	Br	Brome	79.904	3.14	-7.3	58.8
36	Kr	Krypton	83.8	0.00348	-156.6	-152.3
37	Rb	Rubidium	85.4678	1.53	39.0	688.0
38	Sr	Strontium	87.62	2.63	769.0	1384.0
39	Y	Yttrium	88.90585	4.47	1523.0	3337.0
40	Zr	Zirconium	91.224	6.51	1852.0	4377.0
41	Nb	Niobium	92.90638	8.58	2468.0	4927.0
42	Mo	Molybdène	95.94	10.28	2617.0	5560.0
43	Tc	Technétium	98.9063	11.49	2172.0	5030.0
44	Ru	Ruthénium	101.07	12.45	2310.0	3900.0
45	Rh	Rhodium	102.9055	12.41	1966.0	3727.0
46	Pd	Palladium	106.42	12.02	1552.0	3140.0
47	Ag	Argent	107.8682	10.49	961.9	2212.0
48	Cd	Cadmium	112.411	8.64	321.0	765.0
49	In	Indium	114.82	7.31	156.2	2080.0
50	Sn	Étain	118.71	7.29	232.0	2270.0
51	Sb	Antimoine	121.75	6.69	630.7	1750.0
52	Te	Tellure	127.6	6.25	449.6	990.0
53	I	Iode	126.90447	4.94	113.5	184.4
54	Xe	Xénon	131.29	0.00449	-111.9	-107.0
55	Cs	Césium	132.90543	1.9	28.4	690.0
56	Ba	Baryum	137.327	3.65	725.0	1640.0
57	La	Lanthane	138.9055	6.16	920.0	3454.0
58	Ce	Cérium	140.115	6.77	798.0	3257.0
59	Pr	Praséodyme	140.90765	6.48	931.0	3212.0
60	Nd	Néodyme	144.24	7.0	1010.0	3127.0
61	Pm	Prométhium	146.9151	7.22	1080.0	2730.0
62	Sm	Samarium	150.36	7.54	1072.0	1778.0
63	Eu	Europium	151.965	5.25	822.0	1597.0
64	Gd	Gadolinium	157.25	7.89	1311.0	3233.0
65	Tb	Terbium	158.92534	8.25	1360.0	3041.0
66	Dy	Dysprosium	162.5	8.56	1409.0	2335.0
67	Ho	Holmium	164.93032	8.78	1470.0	2720.0
68	Er	Erbium	167.26	9.05	1522.0	2510.0
