url_data	is_reference_data	description	dataset_name	bibreference_num	dataset_num	description_txt
https://iramat-apps.cnrs.fr/api/ref_elements	Y	Atomic number	None	None	None	Lorem Ipsum dolor sit amet, consectetur adipiscing elit.
https://iramat-apps.cnrs.fr/api/dataset_adisser17	N	Dataset	dataset_adisser17	ch.bibreference = 1	1	This dataset contains the reference data used by Alexandre Disser in his PhD thesis on the circulation of iron products in Lorraine. The collected data pertains to six types of iron ore exploited in Lorraine before the advent of the blast furnace. Approximately half of the data had previously been acquired by Marc Leroy as part of his research program on the technical conditions of iron ore reduction in Lorraine.
https://iramat-apps.cnrs.fr/api/dataset_gpages22	N	Dataset	dataset_gpages22	ch.bibreference = 2	2	This dataset was published as part of research into the origin of iron bars found in some of the Roman shipwrecks that ran aground off the coast of Saintes-Maries-de-la-Mer, at the mouth of the Rhône River. Samples associated with several iron production centers in Gaul (Wallonia, Puisaye, Montagne Noire, etc.) were used as references to describe part of the iron trade networks established within the Roman Empire.
https://iramat-apps.cnrs.fr/api/dataset_sleroy12	N	Dataset	dataset_sleroy12	ch.bibreference = 4	4	This dataset was published following the doctoral work of Stéphanie Leroy. The collected data primarily concerns the central Pyrenees. Two deposits were examined: Rancié (Vicdessos) and Rivèrenert. Additional data from the Italian Piemonte and French Dauphiné regions were also collected. This reference corpus served as the basis for methodological developments in determining the provenance of ancient ferrous alloys. In particular, it was used to study the origin of iron used in several medieval contexts, including the Palais des Papes in Avignon.
https://iramat-apps.cnrs.fr/api/dataset_pdillmann17	N	Dataset	dataset_pdillmann17	ch.bibreference = 6	5	This dataset was collected during the ANR-DFG CIPIA project (‘Circulation of Iron Products in Iron Age’). Ore and slag samples were collected from iron production sites located in the cultural area of the ‘Principautés celtiques’ or 'Westhallstattkreis', mainly corresponding to the Late Hallstatt period. Material from later sites was also used. The dataset was used to determine the provenance of some of the individuals composing a corpus of bipyramidal ingots. This work led to the proposal of a new model for the organization of iron production at the end of the Early Iron Age.
https://iramat-apps.cnrs.fr/api/dataset_amdesaulty8a	N	Dataset	dataset_amdesaulty8a	ch.bibreference = 7	6	This dataset was compiled as part of Anne-Marie Desaulty’s doctoral thesis. Ore and slag samples from metallurgical sites in the Pays de Bray (Normandy) were used to support methodological developments, both for the study of ironmaking processes and for the provenance of ferrous objects. The sites considered cover a broad chronological range, from Antiquity to the end of the Middle Ages.
https://iramat-apps.cnrs.fr/api/dataset_amdesaulty8b	N	Dataset	dataset_amdesaulty8b	ch.bibreference = 8	7	This dataset was compiled as part of Anne-Marie Desaulty’s doctoral thesis. Ore and slag samples from metallurgical sites in the Pays de Bray (Normandy) were used to support methodological developments, both for the study of ironmaking processes and for the provenance of ferrous objects. The sites considered cover a broad chronological range, from Antiquity to the end of the Middle Ages.
https://iramat-apps.cnrs.fr/api/dataset_jmilot16	N	Dataset	dataset_jmilot16	ch.bibreference = 9	8	This dataset was compiled as part of Jean Milot’s doctoral thesis. One of the main objectives of this work was to determine the feasibility of provenance studies based on iron isotopes. To do this, it was necessary to observe the behavior of useful isotopes during the different phases of the operational chain, to confirm that the isotopic ratios were preserved between the ore and the metal objects. Both archaeological and experimental materials have been used. The mining district of Les Martys (Montagne Noire) was chosen to implement these methodological developments.
https://iramat-apps.cnrs.fr/api/dataset_mpcoustures06	N	Dataset	dataset_mpcoustures06	ch.bibreference = 10	9	This dataset was compiled as part of research conducted on iron bars recovered from Roman shipwrecks off the mouth of the Rhône River. Several trace elements were measured in the non-metallic inclusions contained in the metal of these bars. The elemental composition of the latter was then compared to that of ores and slags from two Gallo-Roman metallurgical sites, Les Martys and Les Ferrys. This work represents an important methodological development, as it is one of the first to use trace elements as chemical markers of non-metallic inclusions.
https://iramat-apps.cnrs.fr/api/dataset_gstdidier17	N	Dataset	dataset_gstdidier17	ch.bibreference = 11	10	This dataset was compiled as part of Guillaume Saint-Didier's thesis, conducted on the Poitou region. The material was collected during systematic pedestrian survey campaigns on metallurgical sites, with the earliest dating to the La Tène period and the latest to the end of the Middle Ages.
https://iramat-apps.cnrs.fr/api/dataset_mbrauns13	N	Dataset	dataset_mbrauns13	ch.bibreference = 13	12	This dataset was compiled as part of the fundamental research conducted by Michael Brauns and his collaborators to develop provenance studies using Osmium isotopes. To demonstrate the feasibility of this approach, the authors focused on iron production activities that took place in the Black Forest massif during the Iron Age and compared the isotopic signature with that of a bipyramidal iron product.
https://iramat-apps.cnrs.fr/api/dataset_lheritier20	N	Dataset	dataset_lheritier20	ch.bibreference = 14	13	This dataset was compiled as part of the research project on the economy of the construction of the Bourges Cathedral. A chemical data reference framework was established for ironworking sectors that may have potentially supplied the building yard.
https://iramat-apps.cnrs.fr/api/dataset_mleroy97	N	Dataset	dataset_mleroy97	ch.bibreference = 15	14	This dataset was compiled by Marc Leroy during his doctoral research. It consists of analyses performed on materials related to the reduction of Lorraine iron ores, primarily Minette (Aalenian oolitic iron ore) and Fer Fort (siderolithic iron ore). These data were mainly used to study the thermodynamic conditions of ore reduction operations and to demonstrate the chemical relationship between ores and slags.
https://iramat-apps.cnrs.fr/api/dataset_mleroy24	N	Dataset	dataset_mleroy24	ch.bibreference = 16	15	This dataset was compiled as part of a research program on iron and steel production in Lorraine before the use of the blast furnace. It complements another dataset compiled during Marc Leroy's doctoral research.
https://iramat-apps.cnrs.fr/api/dataset_vserneels93	N	Dataset	dataset_vserneels93	ch.bibreference = 17	16	This dataset was published in the monograph derived from Vincent Serneels' thesis. It relates to iron ore reduction in the Swiss Jura. These data helped improve understanding of the operational conditions for reducing iron ores exploited in this region. They also served as the foundation for significant methodological developments in the archaeometric study of iron-smelting waste from the bloomery process.
https://iramat-apps.cnrs.fr/api/dataset_leschenlohr01	N	Dataset	dataset_leschenlohr01	ch.bibreference = 18	17	This dataset was compiled as part of the archaeological program coordinated by Ludwig Eschenlohr in the canton of Jura, Switzerland. Ores and slags from several dozen mining extraction and ore reduction sites were chemically characterized. The periods covered range from Roman antiquity to the early modern era.
https://iramat-apps.cnrs.fr/api/dataset_gzabinski23	N	Dataset	dataset_gzabinski23	ch.bibreference = 19	18	This dataset was published as part of the research conducted by Grzegorz Zabinsky on the Przeworsk Culture. Representatives of this culture developed significant iron ore reduction activity during the Roman period. Most of the data consists of legacy data acquired between the 1950s and 1980s and thus primarily includes data related to major elements.
https://iramat-apps.cnrs.fr/api/dataset_tyoungxx	N	Dataset	dataset_tyoungxx	ch.bibreference >= 20 AND ch.bibreference <= 71	19	This dataset contains the data published by Tim Young as part of the numerous archaeometallurgical expertises he conducted, primarily for archaeology operators in the United Kingdom. These studies cover a wide range of geological and archaeological contexts, as well as different stages of the operational chain (forging, smelting, etc.). All his reports are available on the GeoArch company website.
https://iramat-apps.cnrs.fr/api/dataset_tivancan21	N	Dataset	dataset_tivancan21	ch.bibreference = 77 	20	This dataset was compiled during the TransFER project. The acquired chemical data helped to better understand the exploitation methods of iron ores in the lowlands of the Drava basin. The data also contributed to a better understanding of the regional geomorphology. The main period of activity is at the end of Roman antiquity and the early Middle Ages.
https://iramat-apps.cnrs.fr/api/dataset_pmameli14	N	Dataset	dataset_pmameli14	ch.bibreference = 78	21	This dataset was compiled as part of research on the ancient exploitation of iron ores on the island of Sardinia. The data mainly concern the early Middle Ages. The analyses also helped develop a reflection on the chemical distinction of ores on the scale of the Tyrrhenian Sea.
https://iramat-apps.cnrs.fr/api/dataset_kmittelstaedt22	N	Dataset	dataset_kmittelstaedt22	ch.bibreference = 79	22	This dataset was compiled as part of research conducted on the Eisenberg vicus, where iron ore reduction was practiced during the Roman period. The study conducted using this chemical data helped to better understand the conditions for reducing iron ores, as well as to consider the taphonomy of ironworking waste.
https://iramat-apps.cnrs.fr/api/dataset_mbenvenuti13	N	Dataset	dataset_mbenvenuti13	ch.bibreference = 80	23	This dataset was compiled as part of research on the chemical signature of iron ores exploited on the island of Elba, from the Etruscan period to the contemporary era. Certain elements were identified as strong chemical markers. The data were compared with those known for other metalliferous districts to discuss the specificity of these amounts.
https://iramat-apps.cnrs.fr/api/dataset_mberranger26	N	Dataset	dataset_mberranger26	ch.bibreference = 97	24	This dataset was compiled from ongoing research on Puisaye, a very important ironworking district during Roman antiquity. The data relate to numerous production sites. Reflection is also being conducted on the conditions for reducing iron ores in this context. Some of these data served as a reference for a previous provenance study conducted on iron bars recovered from Roman-era shipwrecks.
https://iramat-apps.cnrs.fr/api/dataset_ferapo26	N	Dataset	dataset_ferapo26	ch.bibreference = 98	25	This dataset was compiled during the FERAPO and FERMAPYR programs, conducted on the exploitation of iron ores in the eastern half of the French Pyrenees. These data made it possible to chemically distinguish the main ores exploited in this area and to better understand the trade of these ores across the massif.
https://iramat-apps.cnrs.fr/api/dataset_rsaage26	N	Dataset	dataset_rsaage26	ch.bibreference = 99	26	This dataset was compiled during the RAUR program. The acquired data helped to better understand the conditions of iron ore exploitation in Estonia from prehistoric times to the Middle Ages. This dataset was compiled as a prerequisite for conducting provenance studies on the scale of the Baltic Basin.
